1         	-1.51616  	1.00041   	0.16080   	1.60475   	6         	1         	0         	0
2         	-1.52739  	-0.24887  	0.16080   	1.59855   	0         	1         	0         	0
3         	-5.17720  	-0.20730  	0.17054   	-3.11178  	0         	1         	0         	0
4         	-5.15448  	-1.14599  	0.20180   	-1.49343  	0         	1         	0         	0
5         	-5.15132  	-4.14868  	0.08285   	-1.58067  	0         	1         	0         	0
6         	-4.59631  	-6.81366  	0.10550   	-0.60709  	0         	0         	0         	0
7         	-3.18331  	-7.48226  	0.11250   	0.01508   	0         	1         	0         	0
8         	-0.66231  	-7.42157  	0.72380   	0.02104   	0         	1         	0         	0
9         	2.68981   	-7.35936  	0.82634   	0.05764   	0         	1         	0         	0
10        	5.45075   	-7.00532  	0.18531   	0.01030   	0         	1         	0         	0
11        	5.44405   	-4.61096  	0.22497   	2.41062   	0         	0         	0         	0
12        	4.13147   	-3.97342  	0.10835   	-3.12822  	0         	1         	0         	0
13        	-0.17578  	-3.92636  	1.09052   	3.13725   	0         	1         	0         	0
14        	-0.54131  	-3.85682  	1.11916   	3.04392   	0         	1         	0         	0
15        	-3.38704  	-3.99580  	0.13053   	-3.11955  	0         	1         	0         	0
16        	-4.84613  	-5.32289  	0.14378   	-3.07741  	0         	0         	0         	0
17        	-0.89801  	-1.01015  	0.23077   	-1.56495  	0         	1         	0         	0
18        	-0.63576  	-3.37971  	1.13297   	-1.48132  	0         	1         	0         	0
19        	1.28453   	-6.92226  	0.82634   	0.01508   	3         	0         	0         	0
20        	0.38611   	-6.98226  	0.82634   	0.01508   	0         	1         	0         	0
21        	-3.57011  	1.08311   	0.16080   	1.60475   	6         	1         	0         	0
22        	-3.57011  	-0.24887  	0.16080   	1.59855   	0         	1         	0         	0
