1         	1         	2         	1.24933   	0         	1         	0.30000   	999       	2         	1         	0         	0
2         	2         	3         	3.65006   	0         	0         	0.50000   	1         	0         	1         	0         	0
3         	3         	4         	0.93949   	0         	0         	0.30000   	1         	0         	1         	0         	0
4         	4         	5         	3.00505   	0         	0         	0.50000   	999       	0         	1         	0         	0
5         	6         	7         	1.56322   	0         	0         	0.30000   	1         	0         	1         	0         	0
6         	7         	8         	2.59477   	0         	0         	0.50000   	999       	0         	1         	0         	0
7         	19        	9         	1.47169   	0         	0         	0.30000   	1         	0         	1         	0         	0
8         	9         	10        	2.85641   	0         	0         	0.50000   	999       	0         	1         	0         	0
9         	10        	11        	2.39470   	0         	0         	0.50000   	1         	0         	1         	0         	0
10        	11        	12        	1.46387   	0         	0         	0.50000   	1         	0         	1         	0         	0
11        	12        	13        	4.41806   	0         	0         	0.50000   	999       	0         	1         	0         	0
12        	13        	14        	0.36791   	0         	0         	0.30000   	1         	0         	1         	0         	0
13        	14        	15        	3.01282   	0         	0         	0.50000   	999       	0         	1         	0         	0
14        	5         	16        	1.21475   	0         	0         	0.50000   	0         	0         	1         	0         	0
15        	16        	6         	1.51204   	0         	0         	0.50000   	1         	0         	1         	0         	0
16        	15        	16        	1.97238   	0         	0         	0.50000   	1         	0         	1         	0         	0
17        	2         	17        	0.99023   	0         	0         	0.50000   	1         	0         	1         	0         	0
18        	17        	18        	2.54903   	0         	0         	0.50000   	999       	0         	1         	0         	0
19        	18        	14        	0.58495   	0         	0         	0.30000   	1         	0         	1         	0         	0
20        	8         	20        	1.14136   	0         	0         	0.30000   	1         	0         	1         	0         	0
21        	19        	20        	0.90042   	0         	0         	0.30000   	1         	0         	1         	0         	0
22        	13        	18        	0.71569   	0         	0         	0.30000   	999       	0         	1         	0         	0
23        	21        	22        	0.71569   	0         	0         	0.30000   	999       	0         	1         	0         	0
24        	3         	22        	1.60766   	0         	0         	0.30000   	0         	0         	1         	0         	0
25        	2         	22        	2.04272   	0         	0         	0.70000   	1         	0         	1         	0         	0
26        	16        	11        	10.31510  	0         	0         	1.00000   	1         	0         	1         	0         	0
